No,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total,,,,,,,,,,
1,5**,Number,86,129,96,130,57,10,,,508,,,,,,,,,,
2,5**,Percentage,0.2%,0.3%,0.2%,0.3%,0.1%,0.0%,,,1.1%,,,,,,,,,,
3,5*,Number,99,232,326,480,257,67,4,1,1466,,,,,,,,,,
4,5*,Percentage,0.2%,0.5%,0.7%,1.0%,0.5%,0.1%,0.0%,0.0%,3.1%,,,,,,,,,,
5,5,Number,106,332,540,1121,707,203,18,1,3028,,,,,,,,,,
6,5,Percentage,0.2%,0.7%,1.1%,2.3%,1.5%,0.4%,0.0%,0.0%,6.3%,,,,,,,,,,
7,4,Number,107,396,1039,3197,3269,1322,197,17,9544,,,,,,,,,,
8,4,Percentage,0.2%,0.8%,2.2%,6.7%,6.8%,2.8%,0.4%,0.0%,19.9%,,,,,,,,,,
9,3,Number,35,176,487,2396,4983,3900,934,147,13058,,,,,,,,,,
10,3,Percentage,0.1%,0.4%,1.0%,5.0%,10.4%,8.1%,1.9%,0.3%,27.2%,,,,,,,,,,
11,2,Number,8,52,125,765,2982,5837,3422,1133,14324,,,,,,,,,,
12,2,Percentage,0.0%,0.1%,0.3%,1.6%,6.2%,12.1%,7.1%,2.4%,29.8%,,,,,,,,,,
13,1,Number,2,4,13,57,247,1029,1706,1817,4875,,,,,,,,,,
14,1,Percentage,0.0%,0.0%,0.0%,0.1%,0.5%,2.1%,3.6%,3.8%,10.1%,,,,,,,,,,
15,U,Number,,1,3,12,29,69,228,901,1243,,,,,,,,,,
16,U,Percentage,,0.0%,0.0%,0.0%,0.1%,0.1%,0.5%,1.9%,2.6%,,,,,,,,,,
17,Total,Number,443,1322,2629,8158,12531,12437,6509,4017,48046,,,,,,,,,,
18,Total,Percentage,0.9%,2.8%,5.5%,17.0%,26.1%,25.9%,13.5%,8.4%,100.0%,,,,,,,,,,
